Pizza,Neapolitan Pizza,https://vitaitaliantours.com/wp-content/uploads/2016/03/Neapolitan-Pizza-Margherita.jpg,67,5.0,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Pizza,New York Pizza,https://cdn0.vox-cdn.com/thumbor/HzeqngbRxCNwHBc3hkIoxvDmexM=/cdn0.vox-cdn.com/uploads/chorus_asset/file/3942912/16721243628_884505139f_o.0.jpg,35,4.9,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Salad,Fruit Salad,https://thestayathomechef.com/wp-content/uploads/2014/06/The-Best-Fruit-Salad-3-2848x4272.jpg,25,4.2,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Salad,Jain Salads,https://i.ytimg.com/vi/AcTynqQ62ZM/maxresdefault.jpg,25,5.0,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Salad,Light Salads,https://www.tasteofhome.com/wp-content/uploads/2018/01/Light-Strawberry-Spinach-Salad_EXPS_THAM18_8020_D11_08_2b-1.jpg,67,3.4,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Salad,Low Cal Salads,https://healthbeet.org/wp-content/uploads/2019/07/pasta-salad-1-1.jpg,56,4.9,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Dairy,Yogurt,https://www.womansworld.com/wp-content/uploads/2020/07/how-to-make-yogurt-1.jpg?resize=768,35,4.8,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Dairy,Cheese,https://images.indulgexpress.com/uploads/user/ckeditor_images/article/2019/5/31/Gouda_1.jpg,23,4.6,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Dairy,Cream,https://ihmnotessite.com/wp-content/uploads/2020/05/CREAM-1.jpg,89,5.0,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Dairy,Cottage cheese,https://www.rebootedmom.com/wp-content/uploads/2019/09/Raw-Cottage-Cheese.jpg,67,4.9,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Noodles,Bakmi,https://www.thehalaleater.net/wp-content/uploads/2020/10/bakmi_halal.jpeg,80,4.2,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Noodles,Cellophane noodles,https://foodrig.com/wp-content/uploads/2020/04/cellophane-noodles.jpg,56,5.0,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Noodles,Chukamen,https://i.pinimg.com/originals/63/a0/b9/63a0b9dfaa19b78afdba8937d3fb0526.jpg,65,3.4,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Noodles,Idiyappam,https://1.bp.blogspot.com/-_WpTv7b6-C8/WSdMTvlCvjI/AAAAAAAADbw/TDLYoYRd9VUefd4VtzQdXUdeuIuD28RegCLcB/s1600/Idiyappam%2BRecipe.JPG,91,4.9,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Desserts,Falooda,https://food-fanatic-res.cloudinary.com/iu/s--sc7NcYSz--/t_full/cs_srgb%2Cf_auto%2Cfl_strip_profile.lossy%2Cq_auto/v1463135545/falooda-pic.jpg,65,4.8,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Desserts,Kaju katli,https://adityasweets.com/wp-content/uploads/2018/09/KAJU-KATLI.jpg,94,4.6,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Desserts,Khaja,https://1.bp.blogspot.com/-FvP-pBxGcac/WeTM-rdaQ4I/AAAAAAAAAc8/V0hY92r-Nq8heP2ZHCPBKjeQnhKAj99aQCLcBGAs/s1600/IMG_7551.JPG,76,5.0,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
Desserts,Barfi,https://static.toiimg.com/photo/msid-66476943/66476943.jpg,75,4.9,Learn how to make succulent beef burgers with just four ingredients and a simple step-by-step guide.
